id,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
1,39353,85475,117961,118300,123472,117905,117906,290919,117908,1
2,17183,1540,117961,118343,123125,118536,118536,308574,118539,1
3,36724,14457,118219,118220,117884,117879,267952,19721,117880,1
4,36135,5396,117961,118343,119993,118321,240983,290919,118322,1
5,42680,5905,117929,117930,119569,119323,123932,19793,119325,1
6,45333,14561,117951,117952,118008,118568,118568,19721,118570,0
7,25993,17227,117961,118343,123476,118980,301534,118295,118982,1
8,19666,4209,117961,117969,118910,126820,269034,118638,126822,1
9,31246,783,117961,118413,120584,128230,302830,4673,128231,1
10,78766,56683,118079,118080,117878,117879,304519,19721,117880,1
11,4675,3005,117961,118413,118481,118784,117906,290919,118786,1
12,15030,94005,117902,118041,119238,119093,138522,119095,119096,1
13,79954,46608,118315,118463,122636,120773,123148,118960,120774,1
14,4675,50997,91261,118026,118202,119962,168365,118205,119964,1
15,95836,18181,117961,118343,118514,118321,117906,290919,118322,1
16,19484,6657,118219,118220,118221,117885,117886,117887,117888,1
17,114267,23136,117961,118052,119742,118321,117906,290919,118322,1
18,35197,57715,117961,118446,118701,118702,118703,118704,118705,1
19,86316,7002,117961,118343,123125,118278,132715,290919,118279,1
20,27785,5636,117961,118413,122007,118321,117906,290919,118322,1
21,37427,5220,117961,118300,118458,120006,303717,118424,120008,1
22,15672,111936,117961,118300,118783,117905,240983,290919,117908,1
23,92885,744,117961,118300,119181,118777,279443,308574,118779,1
24,1020,85475,117961,118300,120410,118321,117906,290919,118322,1
25,4675,7551,117961,118052,118867,118259,117906,290919,118261,1
26,41334,28253,118315,118463,123089,118259,128796,290919,118261,1
27,77385,14829,117961,118052,119986,117905,117906,290919,117908,1
28,20273,11506,118216,118587,118846,179731,128361,117887,117973,1
29,78098,46556,118090,118091,117884,118568,165015,19721,118570,1
30,79328,4219,117961,118300,120312,120313,144958,118424,120315,1
31,23921,4953,117961,118343,119598,120344,310997,118424,120346,1
32,34687,815,117961,118300,123719,117905,117906,290919,117908,1
33,43452,169112,117902,118041,119781,118563,121024,270488,118565,1
34,33248,4929,117961,118300,118825,118826,226343,118424,118828,1
35,78282,7445,117961,118343,122299,118054,121350,117887,118055,1
36,17183,794,118752,119070,117945,280788,152940,292795,119082,1
37,38658,1912,119134,119135,118042,120097,174445,270488,120099,1
38,14354,50368,117926,118266,117884,118568,281735,19721,118570,1
39,45019,1080,117961,118327,118378,120952,120953,118453,120954,1
40,13878,1541,117961,118225,123173,120812,123174,118638,120814,1
41,14570,46805,117929,117930,117920,118568,281735,19721,118570,1
42,74310,49521,117961,118300,118301,119849,235245,118638,119851,0
43,6977,1398,117961,118300,120722,118784,130735,290919,118786,1
44,31613,5899,117961,118327,120318,118777,296252,308574,118779,1
45,1020,21127,117961,118052,119408,118777,279443,308574,118779,1
46,32270,3887,117961,118343,120347,120348,265969,118295,120350,1
47,19629,19645,117961,118413,118481,118784,240983,290919,118786,1
48,15702,1938,117961,118300,118066,120560,304465,118643,120562,1
49,113037,5396,117961,118343,119993,120773,118959,118960,120774,1
50,20279,17695,117890,117891,117878,117879,117879,19721,117880,1
51,80746,16690,117961,118446,119064,122022,131302,119221,122024,1
52,80263,36145,117961,118052,120304,307024,311622,118331,118332,1
53,73753,70062,117961,118386,118746,117905,117906,290919,117908,1
54,39883,7551,117961,118052,118867,117905,172635,290919,117908,1
55,25993,7023,117961,117962,119223,118259,118260,290919,118261,1
56,78106,50613,117916,118150,118810,118568,159905,19721,118570,0
57,33150,1915,117961,118300,119181,118784,117906,290919,118786,1
58,34817,5899,117961,118327,120318,118641,240982,118643,118644,1
59,28354,3860,117961,118446,120317,118321,117906,290919,118322,1
60,33642,13196,117951,117952,117941,117879,117897,19721,117880,1
61,26430,56310,118212,118580,117895,117896,117913,117887,117898,1
62,28149,50120,91261,118026,119507,118321,117906,290919,118322,1
63,40867,6736,117961,117969,6725,122290,268766,6725,122292,1
64,20293,273476,117926,118266,117920,118568,310732,19721,118570,1
65,36020,2163,118219,118220,120694,118777,130218,308574,118779,1
66,60006,16821,117961,118225,120535,118396,269406,118398,118399,1
67,35043,14800,117961,117962,118352,118784,117906,290919,118786,0
68,17308,4088,117961,118300,118458,118728,223125,118295,118730,1
69,15716,18073,118256,118257,118623,118995,286106,292795,118997,0
70,39883,55956,118555,118178,119262,117946,119727,292795,117948,1
71,42031,88387,118315,118463,118522,119172,121927,118467,119174,1
72,27124,2318,117961,118327,118933,117905,117906,290919,117908,1
73,35498,18454,117961,118343,119598,125171,257115,118424,125173,1
74,79168,58465,118602,118603,117941,117885,119621,117887,117888,1
75,2252,782,117961,118413,127522,118784,240983,290919,118786,1
76,45652,7338,117961,118225,119924,118321,118448,290919,118322,1
77,23921,4145,117961,118300,120026,307024,303717,118331,118332,1
78,95247,50690,118269,118270,117878,118568,118568,19721,118570,1
79,78844,15645,117961,118052,122392,128903,160695,292795,128905,1
80,19481,10627,118106,118107,119565,179731,155780,117887,117973,1
81,18380,44022,117961,117962,122215,127782,130085,290919,127783,1
82,37734,58406,117975,117976,117884,117885,117913,117887,117888,1
83,3853,17550,117961,118446,118684,118321,117906,290919,118322,1
84,278393,7076,117961,118225,120323,119093,136840,119095,119096,1
85,35625,6454,117961,118343,118856,117905,240983,290919,117908,1
86,35066,17465,91261,118026,118202,118278,118260,290919,118279,1
87,3853,5043,117961,118300,118458,120006,310997,118424,120008,1
88,41569,16671,117961,118052,118706,118523,310608,118331,118525,1
89,25862,46224,117961,118327,118378,120952,143223,118453,120954,1
90,75078,45963,117961,118386,118896,122645,309858,119221,122647,1
91,1020,1483,117961,117962,118840,118641,306399,118643,118644,1
92,22956,3967,117961,118052,118706,118321,117906,290919,118322,0
93,20364,2612,117961,118386,123901,117905,117906,290919,117908,1
94,28943,7547,117961,118052,118933,118784,213944,290919,118786,1
95,75329,17414,118752,119070,118042,118043,151099,270488,118046,1
96,41569,70066,91261,118026,118202,117905,117906,290919,117908,1
97,4684,50806,117961,118446,119961,118259,118260,290919,118261,1
98,77943,4478,117961,118386,118692,118321,117906,290919,118322,1
99,38860,15541,118573,118574,118556,280788,127423,292795,119082,1
100,74142,2371,117961,117962,118501,120702,308462,118504,120704,1
101,58928,17091,117961,118225,118403,118054,287351,117887,118055,1
102,79309,17128,117961,118300,119984,118396,300044,118398,118399,1
103,36480,15510,118169,118170,118171,130479,185784,119784,130481,0
104,16591,44053,117961,117962,117904,119949,123170,290919,119951,1
105,77429,14810,117961,118413,120370,118321,117906,290919,118322,1
106,80550,5659,117961,118300,124725,118321,117906,290919,118322,1
107,25814,1065,117961,118327,121589,118641,306399,118643,118644,1
108,15805,4438,117961,118386,121668,118777,279443,308574,118779,1
109,4675,59029,118555,118178,118320,118321,117906,290919,118322,1
110,56665,4636,117902,117903,119181,120952,130134,118453,120954,1
111,73756,3371,117902,118041,118042,118043,118044,270488,118046,1
112,90518,7252,117961,117962,118352,117905,117906,290919,117908,1
113,80501,19717,117961,117962,118352,118321,117906,290919,118322,0
114,81480,96704,117910,117911,117884,117879,117886,19721,117880,1
115,3069,770,117961,118300,119181,118451,130134,118453,118454,1
116,79021,5568,121785,121786,118492,132692,174445,270488,132694,1
117,33642,50323,117980,117981,117941,118568,281735,19721,118570,1
118,23553,20899,117961,118340,117970,179731,179731,117887,117973,1
119,42085,5715,91261,118026,119362,119363,307210,118667,119365,1
120,38655,17614,117902,118041,118042,118043,118044,270488,118046,1
121,25330,19702,118269,118270,117878,117879,117879,19721,117880,1
122,1098,6993,117961,118343,118514,117905,240983,290919,117908,1
123,23096,29762,117961,118052,120398,122067,130238,118424,122069,0
124,34433,50976,117961,118413,119968,117905,117906,290919,117908,1
125,78607,7560,117961,118343,119181,118321,117906,290919,118322,1
126,79121,225257,120342,120343,119076,118422,124426,118424,118425,1
127,42347,98689,117902,117903,132530,117905,117906,290919,117908,1
128,34575,4013,117961,118300,118514,118321,240983,290919,118322,1
129,19730,4311,119062,119091,118514,118777,279443,308574,118779,1
130,103462,15413,117961,118343,120270,311867,130382,118478,118479,1
131,39262,51748,118315,118316,225010,118685,279443,308574,118687,1
132,16333,111936,117961,118300,118783,117905,240983,290919,117908,1
133,15007,770,117961,118300,120722,118451,130134,118453,118454,1
134,75787,15387,117887,118178,118575,119849,212678,118638,119851,1
135,45790,1215,117961,118327,120171,118863,126488,118398,118865,1
136,20349,46254,117961,118327,126310,118641,306399,118643,118644,1
137,73752,70062,117961,118386,118746,117905,117906,290919,117908,1
138,6964,5432,117961,118327,118391,118641,123881,118643,118644,1
139,25231,1216,117902,117903,118507,119529,205305,119006,119531,1
140,34633,4264,118887,118888,118979,118980,199144,118295,118982,1
141,28472,28163,118315,118316,120361,118321,175154,290919,118322,1
142,24015,14731,117961,118446,118447,119346,302830,4673,119348,1
143,75813,75640,118315,118463,119214,118321,117906,290919,118322,1
144,74161,2290,117902,117903,118403,128422,122352,118453,128424,1
145,30628,7987,117961,118327,120383,118321,149826,290919,118322,1
146,4675,17394,117961,118413,122007,118321,117906,290919,118322,1
147,45444,124899,117961,118327,120171,118890,182227,118398,118892,1
148,3853,5030,117961,118343,120126,120497,223125,118424,120499,1
149,32997,2286,117902,117903,277693,117905,117906,290919,117908,1
150,31613,7629,117961,118327,120383,118784,213944,290919,118786,1
151,42031,28245,118315,118463,123089,117905,130219,290919,117908,1
152,6302,50581,118114,118115,117884,117885,117913,117887,117888,1
153,79850,4004,117961,118343,118856,117905,117906,290919,117908,1
154,79647,5360,117961,118446,122550,118321,117906,290919,118322,1
155,7678,15417,117961,119256,119257,126684,130913,292795,126685,1
156,4675,49577,117961,118327,118933,118784,200462,290919,118786,1
157,77977,3811,120864,121013,118395,118396,269406,118398,118399,0
158,44812,5432,117961,118327,118391,118784,117906,290919,118786,1
159,80472,120822,119596,119597,120823,120647,311441,118398,120649,1
160,14570,23304,117961,118327,124921,137969,271378,118612,137970,0
161,43519,6890,117961,118446,120317,117905,117906,290919,117908,1
162,75834,8343,119301,119302,119303,117905,120828,290919,117908,1
163,98054,36,117961,118413,119968,118321,117906,290919,118322,1
164,80222,44038,117902,117903,118910,119346,302830,4673,119348,1
165,31299,3118,117961,118300,118458,120789,309123,118424,120791,1
166,78327,79402,117983,117984,117878,118568,292195,19721,118570,1
167,19722,4511,117961,118300,119181,118321,117906,290919,118322,1
168,1937,6216,117961,118327,118328,130857,161026,308574,130858,1
169,75901,4945,117961,118300,118360,119849,148676,118638,119851,1
170,25993,139593,117902,118041,119781,130479,179826,119784,130481,1
171,20312,18044,117961,118386,118522,118321,117906,290919,118322,0
172,4675,71189,117961,118386,128823,118259,125206,290919,118261,1
173,40919,38364,118315,118316,118464,130857,156150,308574,130858,1
174,74242,7398,117961,118225,118616,117905,240983,290919,117908,1
175,80215,217,117961,118413,120370,118321,240983,290919,118322,1
176,29058,3651,119062,119091,123125,124152,300136,118424,124154,1
177,79092,25557,117961,118300,121951,128422,130134,118453,128424,1
